Year,Month,Day,MJD,HAM_ms
1977,6,23,43317,0.32134942
1977,6,24,43318,0.32113272
1977,6,25,43319,0.31847497
1977,6,26,43320,0.31605704
1977,6,27,43321,0.31363967
1977,6,28,43322,0.31132582
1977,6,29,43323,0.30918469
1977,6,30,43324,0.30752486
1977,7,1,43325,0.30712576
1977,7,2,43326,0.30542580
1977,7,3,43327,0.30299684
1977,7,4,43328,0.30092423
1977,7,5,43329,0.29869662
1977,7,6,43330,0.29671841
1977,7,7,43331,0.29404565
1977,7,8,43332,0.29173491
1977,7,9,43333,0.29022426
1977,7,10,43334,0.28804681
1977,7,11,43335,0.28478549
1977,7,12,43336,0.28186277
1977,7,13,43337,0.27917152
1977,7,14,43338,0.27606942
1977,7,15,43339,0.27382964
1977,7,16,43340,0.27139849
1977,7,17,43341,0.26886814
1977,7,18,43342,0.26766113
1977,7,19,43343,0.26637587
1977,7,20,43344,0.26570969
1977,7,21,43345,0.26541555
1977,7,22,43346,0.26529110
1977,7,23,43347,0.26424996
1977,7,24,43348,0.26252822
1977,7,25,43349,0.26133009
1977,7,26,43350,0.25984015
1977,7,27,43351,0.25855330
1977,7,28,43352,0.25735315
1977,7,29,43353,0.25684906
1977,7,30,43354,0.25568198
1977,7,31,43355,0.25327784
1977,8,1,43356,0.25060481
1977,8,2,43357,0.24799615
1977,8,3,43358,0.24558458
1977,8,4,43359,0.24307200
1977,8,5,43360,0.24116072
1977,8,6,43361,0.23941625
1977,8,7,43362,0.23753374
1977,8,8,43363,0.23658443
1977,8,9,43364,0.23475536
1977,8,10,43365,0.23328643
1977,8,11,43366,0.23251417
1977,8,12,43367,0.23197187
1977,8,13,43368,0.23060384
1977,8,14,43369,0.22950932
1977,8,15,43370,0.22789329
1977,8,16,43371,0.22653670
1977,8,17,43372,0.22441477
1977,8,18,43373,0.22239336
1977,8,19,43374,0.21986453
1977,8,20,43375,0.21799340
1977,8,21,43376,0.21675567
1977,8,22,43377,0.21692933
1977,8,23,43378,0.21673409
1977,8,24,43379,0.21703074
1977,8,25,43380,0.21724074
1977,8,26,43381,0.21774831
1977,8,27,43382,0.21811919
1977,8,28,43383,0.21895344
1977,8,29,43384,0.22076974
1977,8,30,43385,0.22118168
1977,8,31,43386,0.22078575
1977,9,1,43387,0.22106847
1977,9,2,43388,0.22155870
1977,9,3,43389,0.22102788
1977,9,4,43390,0.22007943
1977,9,5,43391,0.21942298
1977,9,6,43392,0.21934291
1977,9,7,43393,0.21981215
1977,9,8,43394,0.21952940
1977,9,9,43395,0.21894569
1977,9,10,43396,0.21828484
1977,9,11,43397,0.21743535
1977,9,12,43398,0.21722545
1977,9,13,43399,0.21802776
1977,9,14,43400,0.21827878
1977,9,15,43401,0.21792439
1977,9,16,43402,0.21782520
1977,9,17,43403,0.21744180
1977,9,18,43404,0.21781548
1977,9,19,43405,0.21891141
1977,9,20,43406,0.22006687
1977,9,21,43407,0.22119692
1977,9,22,43408,0.22087438
1977,9,23,43409,0.22003618
1977,9,24,43410,0.21959949
1977,9,25,43411,0.22004966
1977,9,26,43412,0.22153138
1977,9,27,43413,0.22337771
1977,9,28,43414,0.22407976
1977,9,29,43415,0.22774901
1977,9,30,43416,0.23126777
1977,10,1,43417,0.23327468
1977,10,2,43418,0.23408205
1977,10,3,43419,0.23574432
1977,10,4,43420,0.23579035
1977,10,5,43421,0.23642151
1977,10,6,43422,0.23854045
1977,10,7,43423,0.24161960
1977,10,8,43424,0.24342347
1977,10,9,43425,0.24395005
1977,10,10,43426,0.24491244
1977,10,11,43427,0.24830453
1977,10,12,43428,0.24985308
1977,10,13,43429,0.25007847
1977,10,14,43430,0.25041714
1977,10,15,43431,0.25225166
1977,10,16,43432,0.25402637
1977,10,17,43433,0.25490740
1977,10,18,43434,0.25483193
1977,10,19,43435,0.25516548
1977,10,20,43436,0.25467304
1977,10,21,43437,0.25395184
1977,10,22,43438,0.25454230
1977,10,23,43439,0.25476848
1977,10,24,43440,0.25619333
1977,10,25,43441,0.25770643
1977,10,26,43442,0.25979069
1977,10,27,43443,0.26010799
1977,10,28,43444,0.26008651
1977,10,29,43445,0.26059956
1977,10,30,43446,0.26158419
1977,10,31,43447,0.26111660
1977,11,1,43448,0.26201539
1977,11,2,43449,0.26322680
1977,11,3,43450,0.26399672
1977,11,4,43451,0.26486695
1977,11,5,43452,0.26608248
1977,11,6,43453,0.26822455
1977,11,7,43454,0.26861903
1977,11,8,43455,0.26905303
