Year,Month,Day,MJD,SLAM_ms
1976,7,7,42966,-0.08264956
1976,7,8,42967,-0.09244353
1976,7,9,42968,-0.11391286
1976,7,10,42969,-0.11938472
1976,7,11,42970,-0.10363163
1976,7,12,42971,-0.09255250
1976,7,13,42972,-0.08988334
1976,7,14,42973,-0.08026738
1976,7,15,42974,-0.07817191
1976,7,16,42975,-0.08749461
1976,7,17,42976,-0.09053291
1976,7,18,42977,-0.08063084
1976,7,19,42978,-0.08702033
1976,7,20,42979,-0.09948721
1976,7,21,42980,-0.09868635
1976,7,22,42981,-0.09042159
1976,7,23,42982,-0.06251972
1976,7,24,42983,-0.03547590
1976,7,25,42984,-0.02991281
1976,7,26,42985,-0.02548881
1976,7,27,42986,-0.01877838
1976,7,28,42987,-0.01029364
1976,7,29,42988,0.01242083
1976,7,30,42989,0.01242337
1976,7,31,42990,-0.01507359
1976,8,1,42991,-0.02815247
1976,8,2,42992,-0.04967359
1976,8,3,42993,-0.07020408
1976,8,4,42994,-0.05859154
1976,8,5,42995,-0.04450852
1976,8,6,42996,-0.03092975
1976,8,7,42997,-0.00585814
1976,8,8,42998,0.00007241
1976,8,9,42999,-0.01734703
1976,8,10,43000,-0.04665916
1976,8,11,43001,-0.07372735
1976,8,12,43002,-0.06228060
1976,8,13,43003,-0.04832419
1976,8,14,43004,-0.07771356
1976,8,15,43005,-0.09912554
1976,8,16,43006,-0.09697487
1976,8,17,43007,-0.08792196
1976,8,18,43008,-0.05793717
1976,8,19,43009,-0.04229827
1976,8,20,43010,-0.05636412
1976,8,21,43011,-0.05890133
1976,8,22,43012,-0.04533077
1976,8,23,43013,-0.03176353
1976,8,24,43014,-0.02125084
1976,8,25,43015,-0.02087544
1976,8,26,43016,-0.02306910
1976,8,27,43017,-0.01405671
1976,8,28,43018,-0.02108995
1976,8,29,43019,-0.04026557
1976,8,30,43020,-0.04130918
1976,8,31,43021,-0.04078713
1976,9,1,43022,-0.03055332
1976,9,2,43023,-0.00965862
1976,9,3,43024,-0.00631296
1976,9,4,43025,-0.01412982
1976,9,5,43026,-0.02296329
1976,9,6,43027,-0.04557552
1976,9,7,43028,-0.05938816
1976,9,8,43029,-0.07095304
1976,9,9,43030,-0.09489074
1976,9,10,43031,-0.11028893
1976,9,11,43032,-0.12271278
1976,9,12,43033,-0.11210617
1976,9,13,43034,-0.08359922
1976,9,14,43035,-0.06988407
1976,9,15,43036,-0.06519864
1976,9,16,43037,-0.04494391
1976,9,17,43038,-0.01860462
1976,9,18,43039,-0.01562909
1976,9,19,43040,-0.01492284
1976,9,20,43041,-0.00590334
1976,9,21,43042,-0.01083462
1976,9,22,43043,-0.01359392
1976,9,23,43044,-0.00127125
1976,9,24,43045,0.01472607
1976,9,25,43046,0.01668393
1976,9,26,43047,0.00922526
1976,9,27,43048,0.00149484
1976,9,28,43049,-0.00767485
1976,9,29,43050,0.00127370
1976,9,30,43051,0.02123832
1976,10,1,43052,0.02829342
1976,10,2,43053,0.02391712
1976,10,3,43054,0.00326158
1976,10,4,43055,-0.01258415
1976,10,5,43056,-0.00682959
1976,10,6,43057,-0.00083328
1976,10,7,43058,0.00204261
1976,10,8,43059,0.00204781
1976,10,9,43060,-0.00786859
1976,10,10,43061,-0.02510228
1976,10,11,43062,-0.04683028
1976,10,12,43063,-0.05663164
1976,10,13,43064,-0.04716660
1976,10,14,43065,-0.03712401
1976,10,15,43066,-0.03553900
1976,10,16,43067,-0.02475194
1976,10,17,43068,-0.00405527
1976,10,18,43069,-0.00290708
1976,10,19,43070,-0.01196650
1976,10,20,43071,-0.02817467
1976,10,21,43072,-0.05114662
1976,10,22,43073,-0.05609010
1976,10,23,43074,-0.04669043
1976,10,24,43075,-0.03381945
1976,10,25,43076,-0.02705824
1976,10,26,43077,-0.03300309
1976,10,27,43078,-0.04718623
1976,10,28,43079,-0.05723765
1976,10,29,43080,-0.05619347
1976,10,30,43081,-0.05512994
1976,10,31,43082,-0.05746658
1976,11,1,43083,-0.06231901
1976,11,2,43084,-0.06288598
1976,11,3,43085,-0.06440262
1976,11,4,43086,-0.07161094
1976,11,5,43087,-0.07353971
1976,11,6,43088,-0.08116141
1976,11,7,43089,-0.08918508
1976,11,8,43090,-0.08370429
1976,11,9,43091,-0.07692519
1976,11,10,43092,-0.07296534
1976,11,11,43093,-0.06887923
1976,11,12,43094,-0.07275275
1976,11,13,43095,-0.07895847
1976,11,14,43096,-0.06690145
1976,11,15,43097,-0.05048175
1976,11,16,43098,-0.04528337
1976,11,17,43099,-0.05630998
1976,11,18,43100,-0.07851550
1976,11,19,43101,-0.09696368
1976,11,20,43102,-0.11112525
1976,11,21,43103,-0.12159635
1976,11,22,43104,-0.12432074
1976,11,23,43105,-0.12030369
1976,11,24,43106,-0.11805576
1976,11,25,43107,-0.11278721
1976,11,26,43108,-0.11058457
1976,11,27,43109,-0.11185852
1976,11,28,43110,-0.10684897
1976,11,29,43111,-0.10147704
1976,11,30,43112,-0.09997556
1976,12,1,43113,-0.10223336
1976,12,2,43114,-0.09764211
1976,12,3,43115,-0.09057309
1976,12,4,43116,-0.09722800
1976,12,5,43117,-0.10306476
1976,12,6,43118,-0.10468212
1976,12,7,43119,-0.10464144
1976,12,8,43120,-0.10901426
1976,12,9,43121,-0.11955172
1976,12,10,43122,-0.12013721
1976,12,11,43123,-0.10860778
1976,12,12,43124,-0.09694199
1976,12,13,43125,-0.09770838
1976,12,14,43126,-0.09920519
1976,12,15,43127,-0.08767145
1976,12,16,43128,-0.07160994
1976,12,17,43129,-0.07885794
1976,12,18,43130,-0.10022448
1976,12,19,43131,-0.11652077
1976,12,20,43132,-0.13398887
1976,12,21,43133,-0.14017925
1976,12,22,43134,-0.13323977
1976,12,23,43135,-0.12244993
1976,12,24,43136,-0.10833405
1976,12,25,43137,-0.10584257
1976,12,26,43138,-0.10962503
1976,12,27,43139,-0.10831563
1976,12,28,43140,-0.11825149
1976,12,29,43141,-0.14190840
1976,12,30,43142,-0.15433950
1976,12,31,43143,-0.15524564
1977,1,1,43144,-0.13834710
1977,1,2,43145,-0.11257485
1977,1,3,43146,-0.11382087
1977,1,4,43147,-0.14384544
1977,1,5,43148,-0.16448138
1977,1,6,43149,-0.16733101
1977,1,7,43150,-0.16920065
1977,1,8,43151,-0.16812439
1977,1,9,43152,-0.16742579
1977,1,10,43153,-0.15307684
1977,1,11,43154,-0.14248132
1977,1,12,43155,-0.15070625
1977,1,13,43156,-0.16176668
1977,1,14,43157,-0.15989864
1977,1,15,43158,-0.15042004
1977,1,16,43159,-0.15387406
1977,1,17,43160,-0.15752335
1977,1,18,43161,-0.14422071
1977,1,19,43162,-0.12794392
1977,1,20,43163,-0.13023696
1977,1,21,43164,-0.14334796
1977,1,22,43165,-0.14505643
1977,1,23,43166,-0.14186153
1977,1,24,43167,-0.15589548
1977,1,25,43168,-0.17601282
1977,1,26,43169,-0.17812483
1977,1,27,43170,-0.17989630
1977,1,28,43171,-0.19158186
1977,1,29,43172,-0.19118485
1977,1,30,43173,-0.17350945
1977,1,31,43174,-0.15269278
1977,2,1,43175,-0.13934523
1977,2,2,43176,-0.13553259
1977,2,3,43177,-0.14714466
1977,2,4,43178,-0.16236215
1977,2,5,43179,-0.17618311
1977,2,6,43180,-0.19427490
1977,2,7,43181,-0.19892602
1977,2,8,43182,-0.18196548
1977,2,9,43183,-0.16196070
1977,2,10,43184,-0.14639783
1977,2,11,43185,-0.14196469
1977,2,12,43186,-0.16400050
1977,2,13,43187,-0.19596201
