Year,Month,Day,MJD,OAM_ms
1977,6,16,43310,-0.01286424
1977,6,17,43311,-0.01921741
1977,6,18,43312,-0.03543470
1977,6,19,43313,-0.01256092
1977,6,20,43314,0.01558923
1977,6,21,43315,0.00141188
1977,6,22,43316,-0.00620215
1977,6,23,43317,0.00702088
1977,6,24,43318,-0.01372443
1977,6,25,43319,-0.02434878
1977,6,26,43320,-0.00138004
1977,6,27,43321,0.01869282
1977,6,28,43322,0.00094559
1977,6,29,43323,-0.02607918
1977,6,30,43324,-0.02782945
1977,7,1,43325,0.00156351
1977,7,2,43326,0.00524686
1977,7,3,43327,-0.03064992
1977,7,4,43328,-0.04648685
1977,7,5,43329,-0.02439518
1977,7,6,43330,-0.03107902
1977,7,7,43331,-0.05621358
1977,7,8,43332,-0.01636793
1977,7,9,43333,-0.00567427
1977,7,10,43334,-0.00751828
1977,7,11,43335,-0.00984554
1977,7,12,43336,-0.01585870
1977,7,13,43337,0.01660592
1977,7,14,43338,0.01059315
1977,7,15,43339,0.00183691
1977,7,16,43340,0.01200620
1977,7,17,43341,-0.00209145
1977,7,18,43342,0.00426731
1977,7,19,43343,-0.00374891
1977,7,20,43344,0.01507314
1977,7,21,43345,0.01583248
1977,7,22,43346,-0.02570935
1977,7,23,43347,0.00383338
1977,7,24,43348,-0.01050215
1977,7,25,43349,0.02335464
1977,7,26,43350,-0.01221226
1977,7,27,43351,-0.01574776
1977,7,28,43352,-0.00731528
1977,7,29,43353,-0.01573998
1977,7,30,43354,0.00089542
1977,7,31,43355,0.01621859
1977,8,1,43356,-0.00020060
1977,8,2,43357,-0.01553359
1977,8,3,43358,0.00750693
1977,8,4,43359,-0.00435382
1977,8,5,43360,-0.01036868
1977,8,6,43361,-0.01994608
1977,8,7,43362,0.00494159
1977,8,8,43363,-0.00495472
1977,8,9,43364,0.01015751
1977,8,10,43365,0.01341251
1977,8,11,43366,0.01437387
1977,8,12,43367,0.01094688
1977,8,13,43368,0.01074773
1977,8,14,43369,0.05165787
1977,8,15,43370,0.07072627
1977,8,16,43371,0.05998283
1977,8,17,43372,0.03585073
1977,8,18,43373,0.02634244
1977,8,19,43374,0.03317458
1977,8,20,43375,0.01804208
1977,8,21,43376,0.03303975
